"Character","Description","Encoded Byte"
" &#119060;","MUSICAL SYMBOL BRACE (U+1D114)"," f09d8494"
" &#119061;","MUSICAL SYMBOL BRACKET (U+1D115)"," f09d8495"
" &#119062;","MUSICAL SYMBOL ONE-LINE STAFF (U+1D116)"," f09d8496"
" &#119063;","MUSICAL SYMBOL TWO-LINE STAFF (U+1D117)"," f09d8497"
" &#119064;","MUSICAL SYMBOL THREE-LINE STAFF (U+1D118)"," f09d8498"
" &#119065;","MUSICAL SYMBOL FOUR-LINE STAFF (U+1D119)"," f09d8499"
" &#119066;","MUSICAL SYMBOL FIVE-LINE STAFF (U+1D11A)"," f09d849a"
" &#119067;","MUSICAL SYMBOL SIX-LINE STAFF (U+1D11B)"," f09d849b"
" &#119068;","MUSICAL SYMBOL SIX-STRING FRETBOARD (U+1D11C)"," f09d849c"
" &#119069;","MUSICAL SYMBOL FOUR-STRING FRETBOARD (U+1D11D)"," f09d849d"
" &#119070;","MUSICAL SYMBOL G CLEF (U+1D11E)"," f09d849e"
" &#119071;","MUSICAL SYMBOL G CLEF OTTAVA ALTA (U+1D11F)"," f09d849f"
" &#119072;","MUSICAL SYMBOL G CLEF OTTAVA BASSA (U+1D120)"," f09d84a0"
" &#119073;","MUSICAL SYMBOL C CLEF (U+1D121)"," f09d84a1"
" &#119074;","MUSICAL SYMBOL F CLEF (U+1D122)"," f09d84a2"
" &#119075;","MUSICAL SYMBOL F CLEF OTTAVA ALTA (U+1D123)"," f09d84a3"
" &#119076;","MUSICAL SYMBOL F CLEF OTTAVA BASSA (U+1D124)"," f09d84a4"
" &#119077;","MUSICAL SYMBOL DRUM CLEF-1 (U+1D125)"," f09d84a5"
" &#119078;","MUSICAL SYMBOL DRUM CLEF-2 (U+1D126)"," f09d84a6"
" &#119081;","MUSICAL SYMBOL MULTIPLE MEASURE REST (U+1D129)"," f09d84a9"
" &#119082;","MUSICAL SYMBOL DOUBLE SHARP (U+1D12A)"," f09d84aa"
" &#119083;","MUSICAL SYMBOL DOUBLE FLAT (U+1D12B)"," f09d84ab"
" &#119084;","MUSICAL SYMBOL FLAT UP (U+1D12C)"," f09d84ac"
" &#119085;","MUSICAL SYMBOL FLAT DOWN (U+1D12D)"," f09d84ad"
" &#119086;","MUSICAL SYMBOL NATURAL UP (U+1D12E)"," f09d84ae"
" &#119087;","MUSICAL SYMBOL NATURAL DOWN (U+1D12F)"," f09d84af"
" &#119088;","MUSICAL SYMBOL SHARP UP (U+1D130)"," f09d84b0"
" &#119089;","MUSICAL SYMBOL SHARP DOWN (U+1D131)"," f09d84b1"
" &#119090;","MUSICAL SYMBOL QUARTER TONE SHARP (U+1D132)"," f09d84b2"
" &#119091;","MUSICAL SYMBOL QUARTER TONE FLAT (U+1D133)"," f09d84b3"
" &#119092;","MUSICAL SYMBOL COMMON TIME (U+1D134)"," f09d84b4"
" &#119093;","MUSICAL SYMBOL CUT TIME (U+1D135)"," f09d84b5"
" &#119094;","MUSICAL SYMBOL OTTAVA ALTA (U+1D136)"," f09d84b6"
" &#119095;","MUSICAL SYMBOL OTTAVA BASSA (U+1D137)"," f09d84b7"
" &#119096;","MUSICAL SYMBOL QUINDICESIMA ALTA (U+1D138)"," f09d84b8"
" &#119097;","MUSICAL SYMBOL QUINDICESIMA BASSA (U+1D139)"," f09d84b9"
" &#119098;","MUSICAL SYMBOL MULTI REST (U+1D13A)"," f09d84ba"
" &#119099;","MUSICAL SYMBOL WHOLE REST (U+1D13B)"," f09d84bb"
" &#119100;","MUSICAL SYMBOL HALF REST (U+1D13C)"," f09d84bc"
" &#119101;","MUSICAL SYMBOL QUARTER REST (U+1D13D)"," f09d84bd"
" &#119102;","MUSICAL SYMBOL EIGHTH REST (U+1D13E)"," f09d84be"
" &#119103;","MUSICAL SYMBOL SIXTEENTH REST (U+1D13F)"," f09d84bf"
" &#119104;","MUSICAL SYMBOL THIRTY-SECOND REST (U+1D140)"," f09d8580"
" &#119105;","MUSICAL SYMBOL SIXTY-FOURTH REST (U+1D141)"," f09d8581"
" &#119106;","MUSICAL SYMBOL ONE HUNDRED TWENTY-EIGHTH REST (U+1D142)"," f09d8582"
" &#119107;","MUSICAL SYMBOL X NOTEHEAD (U+1D143)"," f09d8583"
" &#119108;","MUSICAL SYMBOL PLUS NOTEHEAD (U+1D144)"," f09d8584"
" &#119109;","MUSICAL SYMBOL CIRCLE X NOTEHEAD (U+1D145)"," f09d8585"
" &#119110;","MUSICAL SYMBOL SQUARE NOTEHEAD WHITE (U+1D146)"," f09d8586"
" &#119111;","MUSICAL SYMBOL SQUARE NOTEHEAD BLACK (U+1D147)"," f09d8587"
" &#119112;","MUSICAL SYMBOL TRIANGLE NOTEHEAD UP WHITE (U+1D148)"," f09d8588"
" &#119113;","MUSICAL SYMBOL TRIANGLE NOTEHEAD UP BLACK (U+1D149)"," f09d8589"
" &#119114;","MUSICAL SYMBOL TRIANGLE NOTEHEAD LEFT WHITE (U+1D14A)"," f09d858a"
" &#119115;","MUSICAL SYMBOL TRIANGLE NOTEHEAD LEFT BLACK (U+1D14B)"," f09d858b"
" &#119116;","MUSICAL SYMBOL TRIANGLE NOTEHEAD RIGHT WHITE (U+1D14C)"," f09d858c"
" &#119117;","MUSICAL SYMBOL TRIANGLE NOTEHEAD RIGHT BLACK (U+1D14D)"," f09d858d"
" &#119118;","MUSICAL SYMBOL TRIANGLE NOTEHEAD DOWN WHITE (U+1D14E)"," f09d858e"
" &#119119;","MUSICAL SYMBOL TRIANGLE NOTEHEAD DOWN BLACK (U+1D14F)"," f09d858f"
" &#119120;","MUSICAL SYMBOL TRIANGLE NOTEHEAD UP RIGHT WHITE (U+1D150)"," f09d8590"
" &#119121;","MUSICAL SYMBOL TRIANGLE NOTEHEAD UP RIGHT BLACK (U+1D151)"," f09d8591"
" &#119122;","MUSICAL SYMBOL MOON NOTEHEAD WHITE (U+1D152)"," f09d8592"
" &#119123;","MUSICAL SYMBOL MOON NOTEHEAD BLACK (U+1D153)"," f09d8593"
" &#119124;","MUSICAL SYMBOL TRIANGLE-ROUND NOTEHEAD DOWN WHITE (U+1D154)"," f09d8594"
" &#119125;","MUSICAL SYMBOL TRIANGLE-ROUND NOTEHEAD DOWN BLACK (U+1D155)"," f09d8595"
" &#119126;","MUSICAL SYMBOL PARENTHESIS NOTEHEAD (U+1D156)"," f09d8596"
" &#119127;","MUSICAL SYMBOL VOID NOTEHEAD (U+1D157)"," f09d8597"
" &#119128;","MUSICAL SYMBOL NOTEHEAD BLACK (U+1D158)"," f09d8598"
" &#119129;","MUSICAL SYMBOL NULL NOTEHEAD (U+1D159)"," f09d8599"
" &#119130;","MUSICAL SYMBOL CLUSTER NOTEHEAD WHITE (U+1D15A)"," f09d859a"
" &#119131;","MUSICAL SYMBOL CLUSTER NOTEHEAD BLACK (U+1D15B)"," f09d859b"
" &#119132;","MUSICAL SYMBOL BREVE (U+1D15C)"," f09d859c"
" &#119133;","MUSICAL SYMBOL WHOLE NOTE (U+1D15D)"," f09d859d"
" &#119134;","MUSICAL SYMBOL HALF NOTE (U+1D15E)"," f09d859e"
" &#119135;","MUSICAL SYMBOL QUARTER NOTE (U+1D15F)"," f09d859f"
" &#119136;","MUSICAL SYMBOL EIGHTH NOTE (U+1D160)"," f09d85a0"
" &#119137;","MUSICAL SYMBOL SIXTEENTH NOTE (U+1D161)"," f09d85a1"
" &#119138;","MUSICAL SYMBOL THIRTY-SECOND NOTE (U+1D162)"," f09d85a2"
" &#119139;","MUSICAL SYMBOL SIXTY-FOURTH NOTE (U+1D163)"," f09d85a3"
" &#119140;","MUSICAL SYMBOL ONE HUNDRED TWENTY-EIGHTH NOTE (U+1D164)"," f09d85a4"
" &#119141;","MUSICAL SYMBOL COMBINING STEM (U+1D165)"," f09d85a5"
" &#119142;","MUSICAL SYMBOL COMBINING SPRECHGESANG STEM (U+1D166)"," f09d85a6"
" &#119143;","MUSICAL SYMBOL COMBINING TREMOLO-1 (U+1D167)"," f09d85a7"
" &#119144;","MUSICAL SYMBOL COMBINING TREMOLO-2 (U+1D168)"," f09d85a8"
" &#119145;","MUSICAL SYMBOL COMBINING TREMOLO-3 (U+1D169)"," f09d85a9"
" &#119146;","MUSICAL SYMBOL FINGERED TREMOLO-1 (U+1D16A)"," f09d85aa"
" &#119147;","MUSICAL SYMBOL FINGERED TREMOLO-2 (U+1D16B)"," f09d85ab"
" &#119148;","MUSICAL SYMBOL FINGERED TREMOLO-3 (U+1D16C)"," f09d85ac"
" &#119149;","MUSICAL SYMBOL COMBINING AUGMENTATION DOT (U+1D16D)"," f09d85ad"
" &#119150;","MUSICAL SYMBOL COMBINING FLAG-1 (U+1D16E)"," f09d85ae"
" &#119151;","MUSICAL SYMBOL COMBINING FLAG-2 (U+1D16F)"," f09d85af"
" &#119152;","MUSICAL SYMBOL COMBINING FLAG-3 (U+1D170)"," f09d85b0"
" &#119153;","MUSICAL SYMBOL COMBINING FLAG-4 (U+1D171)"," f09d85b1"
" &#119154;","MUSICAL SYMBOL COMBINING FLAG-5 (U+1D172)"," f09d85b2"
" &#119155;","MUSICAL SYMBOL BEGIN BEAM (U+1D173)"," f09d85b3"
" &#119156;","MUSICAL SYMBOL END BEAM (U+1D174)"," f09d85b4"
" &#119157;","MUSICAL SYMBOL BEGIN TIE (U+1D175)"," f09d85b5"
" &#119158;","MUSICAL SYMBOL END TIE (U+1D176)"," f09d85b6"
" &#119159;","MUSICAL SYMBOL BEGIN SLUR (U+1D177)"," f09d85b7"
" &#119160;","MUSICAL SYMBOL END SLUR (U+1D178)"," f09d85b8"
" &#119161;","MUSICAL SYMBOL BEGIN PHRASE (U+1D179)"," f09d85b9"
" &#119162;","MUSICAL SYMBOL END PHRASE (U+1D17A)"," f09d85ba"
" &#119163;","MUSICAL SYMBOL COMBINING ACCENT (U+1D17B)"," f09d85bb"
" &#119164;","MUSICAL SYMBOL COMBINING STACCATO (U+1D17C)"," f09d85bc"
" &#119165;","MUSICAL SYMBOL COMBINING TENUTO (U+1D17D)"," f09d85bd"
" &#119166;","MUSICAL SYMBOL COMBINING STACCATISSIMO (U+1D17E)"," f09d85be"
" &#119167;","MUSICAL SYMBOL COMBINING MARCATO (U+1D17F)"," f09d85bf"
" &#119168;","MUSICAL SYMBOL COMBINING MARCATO-STACCATO (U+1D180)"," f09d8680"
" &#119169;","MUSICAL SYMBOL COMBINING ACCENT-STACCATO (U+1D181)"," f09d8681"
" &#119170;","MUSICAL SYMBOL COMBINING LOURE (U+1D182)"," f09d8682"
" &#119171;","MUSICAL SYMBOL ARPEGGIATO UP (U+1D183)"," f09d8683"
" &#119172;","MUSICAL SYMBOL ARPEGGIATO DOWN (U+1D184)"," f09d8684"
" &#119173;","MUSICAL SYMBOL COMBINING DOIT (U+1D185)"," f09d8685"
" &#119174;","MUSICAL SYMBOL COMBINING RIP (U+1D186)"," f09d8686"
" &#119175;","MUSICAL SYMBOL COMBINING FLIP (U+1D187)"," f09d8687"
" &#119176;","MUSICAL SYMBOL COMBINING SMEAR (U+1D188)"," f09d8688"
" &#119177;","MUSICAL SYMBOL COMBINING BEND (U+1D189)"," f09d8689"
" &#119178;","MUSICAL SYMBOL COMBINING DOUBLE TONGUE (U+1D18A)"," f09d868a"
" &#119179;","MUSICAL SYMBOL COMBINING TRIPLE TONGUE (U+1D18B)"," f09d868b"
" &#119180;","MUSICAL SYMBOL RINFORZANDO (U+1D18C)"," f09d868c"
" &#119181;","MUSICAL SYMBOL SUBITO (U+1D18D)"," f09d868d"
" &#119182;","MUSICAL SYMBOL Z (U+1D18E)"," f09d868e"
" &#119183;","MUSICAL SYMBOL PIANO (U+1D18F)"," f09d868f"
" &#119184;","MUSICAL SYMBOL MEZZO (U+1D190)"," f09d8690"
" &#119185;","MUSICAL SYMBOL FORTE (U+1D191)"," f09d8691"
" &#119186;","MUSICAL SYMBOL CRESCENDO (U+1D192)"," f09d8692"
" &#119187;","MUSICAL SYMBOL DECRESCENDO (U+1D193)"," f09d8693"
" &#119188;","MUSICAL SYMBOL GRACE NOTE SLASH (U+1D194)"," f09d8694"
" &#119189;","MUSICAL SYMBOL GRACE NOTE NO SLASH (U+1D195)"," f09d8695"
" &#119190;","MUSICAL SYMBOL TR (U+1D196)"," f09d8696"
" &#119191;","MUSICAL SYMBOL TURN (U+1D197)"," f09d8697"
" &#119192;","MUSICAL SYMBOL INVERTED TURN (U+1D198)"," f09d8698"
" &#119193;","MUSICAL SYMBOL TURN SLASH (U+1D199)"," f09d8699"
" &#119194;","MUSICAL SYMBOL TURN UP (U+1D19A)"," f09d869a"
" &#119195;","MUSICAL SYMBOL ORNAMENT STROKE-1 (U+1D19B)"," f09d869b"
" &#119196;","MUSICAL SYMBOL ORNAMENT STROKE-2 (U+1D19C)"," f09d869c"
" &#119197;","MUSICAL SYMBOL ORNAMENT STROKE-3 (U+1D19D)"," f09d869d"
" &#119198;","MUSICAL SYMBOL ORNAMENT STROKE-4 (U+1D19E)"," f09d869e"
" &#119199;","MUSICAL SYMBOL ORNAMENT STROKE-5 (U+1D19F)"," f09d869f"
" &#119200;","MUSICAL SYMBOL ORNAMENT STROKE-6 (U+1D1A0)"," f09d86a0"
" &#119201;","MUSICAL SYMBOL ORNAMENT STROKE-7 (U+1D1A1)"," f09d86a1"
" &#119202;","MUSICAL SYMBOL ORNAMENT STROKE-8 (U+1D1A2)"," f09d86a2"
" &#119203;","MUSICAL SYMBOL ORNAMENT STROKE-9 (U+1D1A3)"," f09d86a3"
" &#119204;","MUSICAL SYMBOL ORNAMENT STROKE-10 (U+1D1A4)"," f09d86a4"
" &#119205;","MUSICAL SYMBOL ORNAMENT STROKE-11 (U+1D1A5)"," f09d86a5"
" &#119206;","MUSICAL SYMBOL HAUPTSTIMME (U+1D1A6)"," f09d86a6"
" &#119207;","MUSICAL SYMBOL NEBENSTIMME (U+1D1A7)"," f09d86a7"
" &#119208;","MUSICAL SYMBOL END OF STIMME (U+1D1A8)"," f09d86a8"
" &#119209;","MUSICAL SYMBOL DEGREE SLASH (U+1D1A9)"," f09d86a9"
" &#119210;","MUSICAL SYMBOL COMBINING DOWN BOW (U+1D1AA)"," f09d86aa"
" &#119211;","MUSICAL SYMBOL COMBINING UP BOW (U+1D1AB)"," f09d86ab"
" &#119212;","MUSICAL SYMBOL COMBINING HARMONIC (U+1D1AC)"," f09d86ac"
" &#119213;","MUSICAL SYMBOL COMBINING SNAP PIZZICATO (U+1D1AD)"," f09d86ad"
" &#119214;","MUSICAL SYMBOL PEDAL MARK (U+1D1AE)"," f09d86ae"
" &#119215;","MUSICAL SYMBOL PEDAL UP MARK (U+1D1AF)"," f09d86af"
" &#119216;","MUSICAL SYMBOL HALF PEDAL MARK (U+1D1B0)"," f09d86b0"
" &#119217;","MUSICAL SYMBOL GLISSANDO UP (U+1D1B1)"," f09d86b1"
" &#119218;","MUSICAL SYMBOL GLISSANDO DOWN (U+1D1B2)"," f09d86b2"
" &#119219;","MUSICAL SYMBOL WITH FINGERNAILS (U+1D1B3)"," f09d86b3"
" &#119220;","MUSICAL SYMBOL DAMP (U+1D1B4)"," f09d86b4"
" &#119221;","MUSICAL SYMBOL DAMP ALL (U+1D1B5)"," f09d86b5"
" &#119222;","MUSICAL SYMBOL MAXIMA (U+1D1B6)"," f09d86b6"
" &#119223;","MUSICAL SYMBOL LONGA (U+1D1B7)"," f09d86b7"
" &#119224;","MUSICAL SYMBOL BREVIS (U+1D1B8)"," f09d86b8"
" &#119225;","MUSICAL SYMBOL SEMIBREVIS WHITE (U+1D1B9)"," f09d86b9"
" &#119226;","MUSICAL SYMBOL SEMIBREVIS BLACK (U+1D1BA)"," f09d86ba"
" &#119227;","MUSICAL SYMBOL MINIMA (U+1D1BB)"," f09d86bb"
" &#119228;","MUSICAL SYMBOL MINIMA BLACK (U+1D1BC)"," f09d86bc"
" &#119229;","MUSICAL SYMBOL SEMIMINIMA WHITE (U+1D1BD)"," f09d86bd"
" &#119230;","MUSICAL SYMBOL SEMIMINIMA BLACK (U+1D1BE)"," f09d86be"
" &#119231;","MUSICAL SYMBOL FUSA WHITE (U+1D1BF)"," f09d86bf"
" &#119232;","MUSICAL SYMBOL FUSA BLACK (U+1D1C0)"," f09d8780"
" &#119233;","MUSICAL SYMBOL LONGA PERFECTA REST (U+1D1C1)"," f09d8781"
" &#119234;","MUSICAL SYMBOL LONGA IMPERFECTA REST (U+1D1C2)"," f09d8782"
" &#119235;","MUSICAL SYMBOL BREVIS REST (U+1D1C3)"," f09d8783"
" &#119236;","MUSICAL SYMBOL SEMIBREVIS REST (U+1D1C4)"," f09d8784"
" &#119237;","MUSICAL SYMBOL MINIMA REST (U+1D1C5)"," f09d8785"
" &#119238;","MUSICAL SYMBOL SEMIMINIMA REST (U+1D1C6)"," f09d8786"
" &#119239;","MUSICAL SYMBOL TEMPUS PERFECTUM CUM PROLATIONE PERFECTA (U+1D1C7)"," f09d8787"
" &#119240;","MUSICAL SYMBOL TEMPUS PERFECTUM CUM PROLATIONE IMPERFECTA (U+1D1C8)"," f09d8788"
" &#119241;","MUSICAL SYMBOL TEMPUS PERFECTUM CUM PROLATIONE PERFECTA DIMINUTION-1 (U+1D1C9)"," f09d8789"
" &#119242;","MUSICAL SYMBOL TEMPUS IMPERFECTUM CUM PROLATIONE PERFECTA (U+1D1CA)"," f09d878a"
" &#119243;","MUSICAL SYMBOL TEMPUS IMPERFECTUM CUM PROLATIONE IMPERFECTA (U+1D1CB)"," f09d878b"
" &#119244;","MUSICAL SYMBOL TEMPUS IMPERFECTUM CUM PROLATIONE IMPERFECTA DIMINUTION-1 (U+1D1CC)"," f09d878c"
" &#119245;","MUSICAL SYMBOL TEMPUS IMPERFECTUM CUM PROLATIONE IMPERFECTA DIMINUTION-2 (U+1D1CD)"," f09d878d"
" &#119246;","MUSICAL SYMBOL TEMPUS IMPERFECTUM CUM PROLATIONE IMPERFECTA DIMINUTION-3 (U+1D1CE)"," f09d878e"
" &#119247;","MUSICAL SYMBOL CROIX (U+1D1CF)"," f09d878f"
" &#119248;","MUSICAL SYMBOL GREGORIAN C CLEF (U+1D1D0)"," f09d8790"
" &#119249;","MUSICAL SYMBOL GREGORIAN F CLEF (U+1D1D1)"," f09d8791"
" &#119250;","MUSICAL SYMBOL SQUARE B (U+1D1D2)"," f09d8792"
" &#119251;","MUSICAL SYMBOL VIRGA (U+1D1D3)"," f09d8793"
" &#119252;","MUSICAL SYMBOL PODATUS (U+1D1D4)"," f09d8794"
" &#119253;","MUSICAL SYMBOL CLIVIS (U+1D1D5)"," f09d8795"
" &#119254;","MUSICAL SYMBOL SCANDICUS (U+1D1D6)"," f09d8796"
" &#119255;","MUSICAL SYMBOL CLIMACUS (U+1D1D7)"," f09d8797"
" &#119256;","MUSICAL SYMBOL TORCULUS (U+1D1D8)"," f09d8798"
" &#119257;","MUSICAL SYMBOL PORRECTUS (U+1D1D9)"," f09d8799"
" &#119258;","MUSICAL SYMBOL PORRECTUS FLEXUS (U+1D1DA)"," f09d879a"
" &#119259;","MUSICAL SYMBOL SCANDICUS FLEXUS (U+1D1DB)"," f09d879b"
" &#119260;","MUSICAL SYMBOL TORCULUS RESUPINUS (U+1D1DC)"," f09d879c"
" &#119261;","MUSICAL SYMBOL PES SUBPUNCTIS (U+1D1DD)"," f09d879d"
" &#119262;","MUSICAL SYMBOL KIEVAN C CLEF (U+1D1DE)"," f09d879e"
" &#119263;","MUSICAL SYMBOL KIEVAN END OF PIECE (U+1D1DF)"," f09d879f"
" &#119264;","MUSICAL SYMBOL KIEVAN FINAL NOTE (U+1D1E0)"," f09d87a0"
" &#119265;","MUSICAL SYMBOL KIEVAN RECITATIVE MARK (U+1D1E1)"," f09d87a1"
" &#119266;","MUSICAL SYMBOL KIEVAN WHOLE NOTE (U+1D1E2)"," f09d87a2"
" &#119267;","MUSICAL SYMBOL KIEVAN HALF NOTE (U+1D1E3)"," f09d87a3"
" &#119268;","MUSICAL SYMBOL KIEVAN QUARTER NOTE STEM DOWN (U+1D1E4)"," f09d87a4"
" &#119269;","MUSICAL SYMBOL KIEVAN QUARTER NOTE STEM UP (U+1D1E5)"," f09d87a5"
" &#119270;","MUSICAL SYMBOL KIEVAN EIGHTH NOTE STEM DOWN (U+1D1E6)"," f09d87a6"
" &#119271;","MUSICAL SYMBOL KIEVAN EIGHTH NOTE STEM UP (U+1D1E7)"," f09d87a7"
" &#119272;","MUSICAL SYMBOL KIEVAN FLAT SIGN (U+1D1E8)"," f09d87a8"
" &#119296;","GREEK VOCAL NOTATION SYMBOL-1 (U+1D200)"," f09d8880"
" &#119297;","GREEK VOCAL NOTATION SYMBOL-2 (U+1D201)"," f09d8881"
" &#119298;","GREEK VOCAL NOTATION SYMBOL-3 (U+1D202)"," f09d8882"
" &#119299;","GREEK VOCAL NOTATION SYMBOL-4 (U+1D203)"," f09d8883"
" &#119300;","GREEK VOCAL NOTATION SYMBOL-5 (U+1D204)"," f09d8884"
" &#119301;","GREEK VOCAL NOTATION SYMBOL-6 (U+1D205)"," f09d8885"
" &#119302;","GREEK VOCAL NOTATION SYMBOL-7 (U+1D206)"," f09d8886"
" &#119303;","GREEK VOCAL NOTATION SYMBOL-8 (U+1D207)"," f09d8887"
" &#119304;","GREEK VOCAL NOTATION SYMBOL-9 (U+1D208)"," f09d8888"
" &#119305;","GREEK VOCAL NOTATION SYMBOL-10 (U+1D209)"," f09d8889"
" &#119306;","GREEK VOCAL NOTATION SYMBOL-11 (U+1D20A)"," f09d888a"
" &#119307;","GREEK VOCAL NOTATION SYMBOL-12 (U+1D20B)"," f09d888b"
" &#119308;","GREEK VOCAL NOTATION SYMBOL-13 (U+1D20C)"," f09d888c"
" &#119309;","GREEK VOCAL NOTATION SYMBOL-14 (U+1D20D)"," f09d888d"
" &#119310;","GREEK VOCAL NOTATION SYMBOL-15 (U+1D20E)"," f09d888e"
" &#119311;","GREEK VOCAL NOTATION SYMBOL-16 (U+1D20F)"," f09d888f"
" &#119312;","GREEK VOCAL NOTATION SYMBOL-17 (U+1D210)"," f09d8890"
" &#119313;","GREEK VOCAL NOTATION SYMBOL-18 (U+1D211)"," f09d8891"
" &#119314;","GREEK VOCAL NOTATION SYMBOL-19 (U+1D212)"," f09d8892"
" &#119315;","GREEK VOCAL NOTATION SYMBOL-20 (U+1D213)"," f09d8893"
" &#119316;","GREEK VOCAL NOTATION SYMBOL-21 (U+1D214)"," f09d8894"
" &#119317;","GREEK VOCAL NOTATION SYMBOL-22 (U+1D215)"," f09d8895"
" &#119318;","GREEK VOCAL NOTATION SYMBOL-23 (U+1D216)"," f09d8896"
" &#119319;","GREEK VOCAL NOTATION SYMBOL-24 (U+1D217)"," f09d8897"
" &#119320;","GREEK VOCAL NOTATION SYMBOL-50 (U+1D218)"," f09d8898"
" &#119321;","GREEK VOCAL NOTATION SYMBOL-51 (U+1D219)"," f09d8899"
" &#119322;","GREEK VOCAL NOTATION SYMBOL-52 (U+1D21A)"," f09d889a"
" &#119323;","GREEK VOCAL NOTATION SYMBOL-53 (U+1D21B)"," f09d889b"
" &#119324;","GREEK VOCAL NOTATION SYMBOL-54 (U+1D21C)"," f09d889c"
" &#119325;","GREEK INSTRUMENTAL NOTATION SYMBOL-1 (U+1D21D)"," f09d889d"
" &#119326;","GREEK INSTRUMENTAL NOTATION SYMBOL-2 (U+1D21E)"," f09d889e"
" &#119327;","GREEK INSTRUMENTAL NOTATION SYMBOL-4 (U+1D21F)"," f09d889f"
" &#119328;","GREEK INSTRUMENTAL NOTATION SYMBOL-5 (U+1D220)"," f09d88a0"
" &#119329;","GREEK INSTRUMENTAL NOTATION SYMBOL-7 (U+1D221)"," f09d88a1"
" &#119330;","GREEK INSTRUMENTAL NOTATION SYMBOL-8 (U+1D222)"," f09d88a2"
" &#119331;","GREEK INSTRUMENTAL NOTATION SYMBOL-11 (U+1D223)"," f09d88a3"
" &#119332;","GREEK INSTRUMENTAL NOTATION SYMBOL-12 (U+1D224)"," f09d88a4"
" &#119333;","GREEK INSTRUMENTAL NOTATION SYMBOL-13 (U+1D225)"," f09d88a5"
" &#119334;","GREEK INSTRUMENTAL NOTATION SYMBOL-14 (U+1D226)"," f09d88a6"
" &#119335;","GREEK INSTRUMENTAL NOTATION SYMBOL-17 (U+1D227)"," f09d88a7"
" &#119336;","GREEK INSTRUMENTAL NOTATION SYMBOL-18 (U+1D228)"," f09d88a8"
" &#119337;","GREEK INSTRUMENTAL NOTATION SYMBOL-19 (U+1D229)"," f09d88a9"
" &#119338;","GREEK INSTRUMENTAL NOTATION SYMBOL-23 (U+1D22A)"," f09d88aa"
" &#119339;","GREEK INSTRUMENTAL NOTATION SYMBOL-24 (U+1D22B)"," f09d88ab"
" &#119340;","GREEK INSTRUMENTAL NOTATION SYMBOL-25 (U+1D22C)"," f09d88ac"
" &#119341;","GREEK INSTRUMENTAL NOTATION SYMBOL-26 (U+1D22D)"," f09d88ad"
" &#119342;","GREEK INSTRUMENTAL NOTATION SYMBOL-27 (U+1D22E)"," f09d88ae"
" &#119343;","GREEK INSTRUMENTAL NOTATION SYMBOL-29 (U+1D22F)"," f09d88af"
" &#119344;","GREEK INSTRUMENTAL NOTATION SYMBOL-30 (U+1D230)"," f09d88b0"
" &#119345;","GREEK INSTRUMENTAL NOTATION SYMBOL-32 (U+1D231)"," f09d88b1"
" &#119346;","GREEK INSTRUMENTAL NOTATION SYMBOL-36 (U+1D232)"," f09d88b2"
" &#119347;","GREEK INSTRUMENTAL NOTATION SYMBOL-37 (U+1D233)"," f09d88b3"
" &#119348;","GREEK INSTRUMENTAL NOTATION SYMBOL-38 (U+1D234)"," f09d88b4"
" &#119349;","GREEK INSTRUMENTAL NOTATION SYMBOL-39 (U+1D235)"," f09d88b5"
" &#119350;","GREEK INSTRUMENTAL NOTATION SYMBOL-40 (U+1D236)"," f09d88b6"
" &#119351;","GREEK INSTRUMENTAL NOTATION SYMBOL-42 (U+1D237)"," f09d88b7"
" &#119352;","GREEK INSTRUMENTAL NOTATION SYMBOL-43 (U+1D238)"," f09d88b8"
" &#119353;","GREEK INSTRUMENTAL NOTATION SYMBOL-45 (U+1D239)"," f09d88b9"
" &#119354;","GREEK INSTRUMENTAL NOTATION SYMBOL-47 (U+1D23A)"," f09d88ba"
" &#119355;","GREEK INSTRUMENTAL NOTATION SYMBOL-48 (U+1D23B)"," f09d88bb"
" &#119356;","GREEK INSTRUMENTAL NOTATION SYMBOL-49 (U+1D23C)"," f09d88bc"
" &#119357;","GREEK INSTRUMENTAL NOTATION SYMBOL-50 (U+1D23D)"," f09d88bd"
" &#119358;","GREEK INSTRUMENTAL NOTATION SYMBOL-51 (U+1D23E)"," f09d88be"
" &#119359;","GREEK INSTRUMENTAL NOTATION SYMBOL-52 (U+1D23F)"," f09d88bf"
" &#119360;","GREEK INSTRUMENTAL NOTATION SYMBOL-53 (U+1D240)"," f09d8980"
" &#119361;","GREEK INSTRUMENTAL NOTATION SYMBOL-54 (U+1D241)"," f09d8981"
" &#119362;","COMBINING GREEK MUSICAL TRISEME (U+1D242)"," f09d8982"
" &#119363;","COMBINING GREEK MUSICAL TETRASEME (U+1D243)"," f09d8983"
" &#119364;","COMBINING GREEK MUSICAL PENTASEME (U+1D244)"," f09d8984"
" &#119365;","GREEK MUSICAL LEIMMA (U+1D245)"," f09d8985"
" &#119520;","MAYAN NUMERAL ZERO (U+1D2E0)"," f09d8ba0"
" &#119521;","MAYAN NUMERAL ONE (U+1D2E1)"," f09d8ba1"
" &#119522;","MAYAN NUMERAL TWO (U+1D2E2)"," f09d8ba2"
" &#119523;","MAYAN NUMERAL THREE (U+1D2E3)"," f09d8ba3"
" &#119524;","MAYAN NUMERAL FOUR (U+1D2E4)"," f09d8ba4"
